0a9838fa20c3,2020-07-08 18:11:15.550788,-20,2020-07-08 18:11:23.767024,-20
0a9838fa20c3,2020-07-08 18:11:54.099186,-22,2020-07-08 18:12:02.139576,-22
9838fa20c3,2020-07-08 18:48:32.032346,-60,2020-07-08 18:48:38.748186,-64
9838fa20c3,2020-07-08 18:48:53.689523,-57,2020-07-08 18:48:53.725807,-60
9838fa20c3,2020-07-08 18:49:27.779275,-61,,
9838fa20c3,2020-07-09 11:44:12.739833,-51,2020-07-09 11:44:14.344993,-48
9838fa20c3,2020-07-09 11:44:27.542159,-54,,
9838fa20c3,2020-07-09 11:45:45.272484,-54,,
9838fa20c3,2020-07-09 11:47:08.185403,-54,,
9838fa20c3,2020-07-09 11:47:37.434986,-54,2020-07-09 11:47:45.362242,-55
9838fa20c3,2020-07-09 11:48:48.196057,-55,,
450467abe5,2020-07-09 11:51:34.537662,-86,2020-07-09 11:51:36.795790,-93
9838fa20c3,2020-07-09 11:51:48.199628,-55,,
9838fa20c3,2020-07-09 11:52:18.199105,-52,,
